Experiment;1;t;x;y;2;t;x;y;3;;;;
;;19.9949;0.00816;0.0085;;120.0026222;0.129010674;0.054653813;;;;;
Stapgrootte;;23.32739;0.00808;0.00864;;123.3351111;0.128798017;0.054794357;;;;;
100 frames;;26.65988;0.00871;0.00883;;126.6675889;0.129086052;0.054745755;;;;;
;;29.99237;0.0111;0.00836;;130.0000889;0.129464945;0.054802214;;;;;
;;33.32486;0.0112;0.00853;;133.3325556;0.129017153;0.054915699;;;;;
;;36.65735;0.0106;0.00877;;136.6650556;0.128946779;0.054756989;;;;;
;;39.98984;0.00534;0.00986;;139.9975444;0.128739382;0.054978664;;;;;
;;43.32233;0.0103;0.0089;;143.3633556;0.128882564;0.054720867;;;;;
;;46.65482;0.00798;0.00987;;146.6958444;0.12898735;0.054725546;;;;;
;;49.98731;0.00821;0.00996;;150.0283111;0.129725413;0.054921516;;;;;
;;53.3198;0.00793;0.00984;;153.3608111;0.129390026;0.055066829;;;;;
;;56.65229;0.0132;0.00935;;156.6933;0.129484756;0.055066907;;;;;
;;59.98478;0.0116;0.00946;;160.0257778;0.129382112;0.055078855;;;;;
;;63.31727;0.0138;0.0107;;163.3582889;0.129318873;0.055189582;;;;;
;;66.64976;0.0113;0.00982;;166.6907444;0.128272993;0.05543147;;;;;
;;69.98225;0.0126;0.0108;;170.0232333;0.13113088;0.055718454;;;;;
;;73.31474;0.0123;0.0108;;173.3557111;0.131126428;0.055742239;;;;;
;;76.64723;0.0132;0.0111;;176.6882111;0.130972988;0.055733427;;;;;
;;79.97972;0.0074;0.0102;;180.0206889;0.13103359;0.055756232;;;;;
;;83.31221;0.00913;0.0103;;183.3531778;0.130766783;0.055866782;;;;;
;;86.6447;0.00982;0.0105;;186.6856667;0.130667026;0.055893125;;;;;
;;89.97719;0.00984;0.0105;;190.0181444;0.128313627;0.055941383;;;;;
;;93.30968;0.00332;0.0122;;193.3506333;0.129088818;0.056149472;;;;;
;;96.64217;0.01;0.0107;;196.7164333;0.12951106;0.056265896;;;;;
;;99.97466;0.0101;0.0108;;200.0489333;0.129511299;0.056233969;;;;;
;;103.30715;0.0102;0.0108;;203.3814111;0.129438182;0.056333351;;;;;
;;106.63964;0.00747;0.0117;;206.7138889;0.129490012;0.056319887;;;;;
