Experiment;1;t;x;y;2;t;x;y;3;t;x;y;
;;19.9949;0.00816;0.0085;;120.0026222;0.129010674;0.054653813;;283.7333333;0.128193951;0.035964808;
Stapgrootte;;23.32739;0.00808;0.00864;;123.3351111;0.128798017;0.054794357;;284.8;0.128085466;0.035960155;
100 frames;;26.65988;0.00871;0.00883;;126.6675889;0.129086052;0.054745755;;285.8666667;0.128075894;0.036047612;
;;29.99237;0.0111;0.00836;;130.0000889;0.129464945;0.054802214;;286.9333333;0.128047619;0.036028588;
;;33.32486;0.0112;0.00853;;133.3325556;0.129017153;0.054915699;;288;0.128109175;0.035991583;
;;36.65735;0.0106;0.00877;;136.6650556;0.128946779;0.054756989;;289.0666667;0.128146769;0.03603914;
;;39.98984;0.00534;0.00986;;139.9975444;0.128739382;0.054978664;;290.1333333;0.128040721;0.036048616;
;;43.32233;0.0103;0.0089;;143.3633556;0.128882564;0.054720867;;291.2;0.128135418;0.036071012;
;;46.65482;0.00798;0.00987;;146.6958444;0.12898735;0.054725546;;292.2666667;0.126903105;0.035954432;
;;49.98731;0.00821;0.00996;;150.0283111;0.129725413;0.054921516;;293.3333333;0.127613298;0.035943836;
;;53.3198;0.00793;0.00984;;153.3608111;0.129390026;0.055066829;;294.4;0.127645765;0.03592671;
;;56.65229;0.0132;0.00935;;156.6933;0.129484756;0.055066907;;295.4666667;0.127684256;0.035979548;
;;59.98478;0.0116;0.00946;;160.0257778;0.129382112;0.055078855;;296.5333333;0.127708069;0.03608892;
;;63.31727;0.0138;0.0107;;163.3582889;0.129318873;0.055189582;;297.6;0.127678049;0.036011897;
;;66.64976;0.0113;0.00982;;166.6907444;0.128272993;0.05543147;;298.6666667;0.127519064;0.036004631;
;;69.98225;0.0126;0.0108;;170.0232333;0.13113088;0.055718454;;299.7333333;0.127714869;0.036158917;
;;73.31474;0.0123;0.0108;;173.3557111;0.131126428;0.055742239;;300.8;0.127782988;0.0362546;
;;76.64723;0.0132;0.0111;;176.6882111;0.130972988;0.055733427;;301.8666667;0.127769219;0.036251299;
;;79.97972;0.0074;0.0102;;180.0206889;0.13103359;0.055756232;;302.9333333;0.127607851;0.036188562;
;;83.31221;0.00913;0.0103;;183.3531778;0.130766783;0.055866782;;304;0.127546407;0.036194335;
;;86.6447;0.00982;0.0105;;186.6856667;0.130667026;0.055893125;;305.0666667;0.127604575;0.036226253;
;;89.97719;0.00984;0.0105;;190.0181444;0.128313627;0.055941383;;306.1333333;0.127682883;0.036302706;
;;93.30968;0.00332;0.0122;;193.3506333;0.129088818;0.056149472;;307.2;0.127766014;0.036349949;
;;96.64217;0.01;0.0107;;196.7164333;0.12951106;0.056265896;;308.2666667;0.127699308;0.036321649;
;;99.97466;0.0101;0.0108;;200.0489333;0.129511299;0.056233969;;309.3333333;0.127701145;0.036358066;
;;103.30715;0.0102;0.0108;;203.3814111;0.129438182;0.056333351;;310.4;0.127688559;0.03634745;
;;106.63964;0.00747;0.0117;;206.7138889;0.129490012;0.056319887;;311.4666667;0.127742338;0.036370892;
;;109.97213;0.00744;0.0119;;210.0463778;0.129998679;0.056424117;;312.5333333;0.127819142;0.036496847;
;;113.30462;0.00975;0.0108;;213.3788667;0.130133685;0.056557594;;313.6;0.127879079;0.036499962;
;;116.63711;0.0159;0.0117;;216.7113444;0.129971448;0.0567769;;314.6666667;0.12781533;0.036431899;
;;119.9696;0.0157;0.0124;;220.0439222;0.129986062;0.056835811;;315.7333333;0.127787558;0.036402967;
;;123.30209;0.00685;0.0125;;223.3763444;0.129928951;0.056905321;;316.8;0.127746932;0.036388389;
;;126.63458;0.00867;0.012;;226.7088111;0.129982375;0.05695133;;317.8666667;0.127833903;0.036508303;
