Experiment;1;t;x;y;2;;;;3
;;19.9949;0.008158437;0.008497116;;;;;
Stapgrootte;;23.32739;0.008079171;0.008643989;;;;;
100 frames;;26.65988;0.008713589;0.008830711;;;;;
;;29.99237;0.01113864;0.008360698;;;;;
;;33.32486;0.01118735;0.008528791;;;;;
;;36.69066;0.01063936;0.008765474;;;;;
;;40.02314;0.005340455;0.009855255;;;;;
;;43.35563;0.01025508;0.008904925;;;;;
;;46.68812;0.007978342;0.009865052;;;;;
;;50.02061;0.00820948;0.009963011;;;;;
;;53.35309;0.007932108;0.009841046;;;;;
;;56.68559;0.0131975;0.00934634;;;;;
;;60.01813;0.0116126;0.009464999;;;;;
;;63.35054;0.0137769;0.01069842;;;;;
;;66.68303;0.01129924;0.009821872;;;;;
;;70.01552;0.01264214;0.01082382;;;;;
;;73.34808;0.01227411;0.01079421;;;;;
;;76.68049;0.01320637;0.01113948;;;;;
;;80.01297;0.007404836;0.01022694;;;;;
;;83.34547;0.009128861;0.01034265;;;;;
;;86.67808;0.009820778;0.01051754;;;;;
;;90.01043;0.009838186;0.01054661;;;;;
;;93.34291;0.003316419;0.0122292;;;;;
;;96.67553;0.01004644;0.01067271;;;;;
;;100.0079;0.01008988;0.01075061;;;;;
;;103.3404;0.01018943;0.01083508;;;;;
;;106.6729;0.007469477;0.01173358;;;;;
;;110.0054;0.007442968;0.01190657;;;;;
;;113.3378;0.009746088;0.01077844;;;;;
;;116.6704;0.01586916;0.01170833;;;;;
;;120.003;0.01568988;0.0123635;;;;;
;;123.3353;0.006845611;0.01253376;;;;;
;;126.6678;0.008668493;0.0119978;;;;;
;;130.0002;0.007708984;0.01244653;;;;;
;;133.3661;0.004315169;0.01319015;;;;;
;;136.6986;0.004330073;0.01332857;;;;;
;;140.031;0.009760459;0.01273084;;;;;
;;143.3635;0.01462104;0.01379152;;;;;
;;146.6961;0.01365154;0.01304487;;;;;
;;150.0285;0.01376635;0.01307693;;;;;
;;153.361;0.01291268;0.01376457;;;;;
;;156.6935;0.01265005;0.01380629;;;;;
;;160.026;0.0128129;0.01376737;;;;;
;;163.3584;0.01306666;0.01401566;;;;;
;;166.6909;0.01363311;0.01425529;;;;;
;;170.0568;0.01257567;0.01402946;;;;;
;;173.3892;0.01248222;0.01416245;;;;;
;;176.7217;0.01277009;0.0143465;;;;;
;;180.0875;0.00860361;0.01398388;;;;;
;;183.42;0.008714375;0.01415741;;;;;
;;186.7525;0.007543195;0.01409621;;;;;
;;190.085;0.01009949;0.01405707;;;;;
;;193.4174;0.004340003;0.0143281;;;;;
;;196.75;0.01558047;0.01347471;;;;;
;;200.0824;0.009417219;0.01391579;;;;;
;;203.4149;0.009418085;0.01390292;;;;;
;;206.7474;0.007253793;0.01365168;;;;;
;;210.0799;0.009407323;0.01391274;;;;;
;;213.4124;0.01080979;0.01401109;;;;;
;;216.7449;0.009419243;0.01389956;;;;;
;;220.0773;0.01257632;0.01401186;;;;;
;;223.4098;0.009125015;0.01386983;;;;;
;;226.7423;0.01282503;0.01403243;;;;;
;;230.0748;0.006615308;0.01533216;;;;;
;;233.4073;0.007004277;0.01526944;;;;;
;;236.7398;0.01299014;0.01406439;;;;;
;;240.0722;0.006622461;0.01528775;;;;;
;;243.4047;0.003497312;0.01591749;;;;;
;;246.7372;0.003301275;0.01592635;;;;;
;;250.0697;0.007266556;0.01566532;;;;;
;;253.4355;0.006899154;0.01567905;;;;;
;;256.768;0.01120398;0.01561265;;;;;
;;260.1338;0.008846051;0.01648711;;;;;
;;263.4663;0.01109989;0.01515167;;;;;
;;266.7988;0.007333917;0.01493975;;;;;
;;270.1313;0.007554909;0.01510891;;;;;
;;273.4638;0.007401752;0.01508904;;;;;
;;276.7963;0.01099286;0.01500313;;;;;
;;280.1287;0.007168261;0.01519646;;;;;
;;283.4612;0.007743222;0.01527575;;;;;
;;286.7937;0.01263554;0.01640951;;;;;
;;290.1928;0.0135342;0.0167413;;;;;
;;293.5254;0.01342515;0.01678958;;;;;
;;296.8578;0.008543037;0.01530188;;;;;
;;300.1903;0.007772701;0.0152886;;;;;
;;303.523;0.008487403;0.01525335;;;;;
;;306.8553;0.009059323;0.01531874;;;;;
;;310.1878;0.01435153;0.01620627;;;;;
;;313.5202;0.01256423;0.01536394;;;;;
;;316.8527;0.01237323;0.01548604;;;;;
;;320.1852;0.01395061;0.01560432;;;;;
